user_id,creation_week,active,suggested,dates
1426737,43,True,True,"Oct 22, 2018"
1426779,23,True,True,"Jun 04, 2018"
1426782,23,False,True,"Jun 04, 2018"
1426800,23,True,True,"Jun 04, 2018"
1426836,23,False,False,"Jun 04, 2018"
1426845,23,True,True,"Jun 04, 2018"
1426866,24,False,True,"Jun 11, 2018"
1426869,23,True,True,"Jun 04, 2018"
1426878,23,False,False,"Jun 04, 2018"
1426890,23,True,True,"Jun 04, 2018"
1426914,23,False,False,"Jun 04, 2018"
1426947,23,True,True,"Jun 04, 2018"
1426959,23,False,False,"Jun 04, 2018"
1426962,23,False,False,"Jun 04, 2018"
1426968,23,False,True,"Jun 04, 2018"
1426977,23,True,True,"Jun 04, 2018"
1426998,23,True,True,"Jun 04, 2018"
1427013,23,True,True,"Jun 04, 2018"
1427043,23,True,True,"Jun 04, 2018"
1427046,23,True,True,"Jun 04, 2018"
1427058,23,False,False,"Jun 04, 2018"
1427061,23,True,True,"Jun 04, 2018"
1427079,23,True,True,"Jun 04, 2018"
1427085,23,True,False,"Jun 04, 2018"
1427088,23,True,True,"Jun 04, 2018"
1427097,23,False,False,"Jun 04, 2018"
1427121,24,False,True,"Jun 11, 2018"
1427145,24,True,True,"Jun 11, 2018"
1427226,23,False,True,"Jun 04, 2018"
1427232,23,False,True,"Jun 04, 2018"
1427235,23,False,False,"Jun 04, 2018"
1427256,51,False,False,"Dec 17, 2018"
1427274,23,False,True,"Jun 04, 2018"
1427283,23,True,True,"Jun 04, 2018"
1427292,23,False,False,"Jun 04, 2018"
1427295,23,True,True,"Jun 04, 2018"
1427298,23,True,True,"Jun 04, 2018"
1427301,23,True,True,"Jun 04, 2018"
1427304,23,False,True,"Jun 04, 2018"
1427313,23,True,True,"Jun 04, 2018"
1427316,23,False,True,"Jun 04, 2018"
1427319,23,True,True,"Jun 04, 2018"
1427343,23,False,False,"Jun 04, 2018"
1427349,23,False,False,"Jun 04, 2018"
1427352,23,True,True,"Jun 04, 2018"
1427373,27,False,True,"Jul 02, 2018"
1427376,23,True,False,"Jun 04, 2018"
1427379,23,False,False,"Jun 04, 2018"
1427382,23,False,True,"Jun 04, 2018"
1427385,23,True,True,"Jun 04, 2018"
1427388,23,False,False,"Jun 04, 2018"
1427391,23,True,True,"Jun 04, 2018"
1427394,23,True,True,"Jun 04, 2018"
1427397,23,True,True,"Jun 04, 2018"
1427403,23,False,True,"Jun 04, 2018"
1427406,23,True,True,"Jun 04, 2018"
1427412,23,True,True,"Jun 04, 2018"
1427415,23,False,True,"Jun 04, 2018"
1427424,23,True,True,"Jun 04, 2018"
1427430,23,False,True,"Jun 04, 2018"
1427433,23,True,True,"Jun 04, 2018"
1427439,23,False,False,"Jun 04, 2018"
1427442,23,True,True,"Jun 04, 2018"
1427463,23,False,False,"Jun 04, 2018"
1427466,23,False,True,"Jun 04, 2018"
1427469,23,False,False,"Jun 04, 2018"
1427472,23,False,False,"Jun 04, 2018"
1427475,23,False,False,"Jun 04, 2018"
1427478,23,False,False,"Jun 04, 2018"
1427487,23,True,True,"Jun 04, 2018"
1427508,23,True,False,"Jun 04, 2018"
1427514,23,False,False,"Jun 04, 2018"
1427517,23,False,False,"Jun 04, 2018"
1427520,23,False,True,"Jun 04, 2018"
1427538,23,False,False,"Jun 04, 2018"
1427541,23,True,True,"Jun 04, 2018"
1427565,23,True,True,"Jun 04, 2018"
1427574,23,False,False,"Jun 04, 2018"
1427577,23,False,True,"Jun 04, 2018"
1427583,23,True,True,"Jun 04, 2018"
1427586,23,False,True,"Jun 04, 2018"
1427589,23,False,False,"Jun 04, 2018"
1427598,23,True,False,"Jun 04, 2018"
1427622,23,True,True,"Jun 04, 2018"
1427631,23,True,True,"Jun 04, 2018"
1427634,23,False,True,"Jun 04, 2018"
1427643,23,True,True,"Jun 04, 2018"
1427658,23,False,True,"Jun 04, 2018"
1427664,23,False,False,"Jun 04, 2018"
1427667,23,False,True,"Jun 04, 2018"
1427694,23,False,True,"Jun 04, 2018"
1427709,23,False,True,"Jun 04, 2018"
1427712,23,False,False,"Jun 04, 2018"
1427733,23,False,True,"Jun 04, 2018"
1427745,23,True,True,"Jun 04, 2018"
1427751,23,False,False,"Jun 04, 2018"
1427754,23,True,False,"Jun 04, 2018"
1427757,23,False,True,"Jun 04, 2018"
1427769,23,True,True,"Jun 04, 2018"
1427784,23,True,True,"Jun 04, 2018"
1427796,23,False,False,"Jun 04, 2018"
1427802,23,False,True,"Jun 04, 2018"
1427820,23,False,True,"Jun 04, 2018"
1427832,23,False,True,"Jun 04, 2018"
1427835,23,False,False,"Jun 04, 2018"
1427871,23,False,False,"Jun 04, 2018"
1427874,23,True,True,"Jun 04, 2018"
1427877,23,True,False,"Jun 04, 2018"
1427880,23,True,True,"Jun 04, 2018"
1427889,23,False,False,"Jun 04, 2018"
1427898,23,False,False,"Jun 04, 2018"
1427901,23,True,True,"Jun 04, 2018"
1427919,23,True,True,"Jun 04, 2018"
1427931,23,True,True,"Jun 04, 2018"
1427949,23,False,False,"Jun 04, 2018"
1427958,23,True,True,"Jun 04, 2018"
1427961,23,False,False,"Jun 04, 2018"
1427964,23,True,True,"Jun 04, 2018"
1427967,23,False,True,"Jun 04, 2018"
1427997,23,False,True,"Jun 04, 2018"
1428009,23,True,True,"Jun 04, 2018"
1428015,23,True,True,"Jun 04, 2018"
1428018,23,True,False,"Jun 04, 2018"
1428042,23,True,True,"Jun 04, 2018"
1428072,23,False,False,"Jun 04, 2018"
1428081,23,False,True,"Jun 04, 2018"
1428087,23,False,False,"Jun 04, 2018"
1428090,23,False,True,"Jun 04, 2018"
1428102,23,False,False,"Jun 04, 2018"
1428108,23,False,True,"Jun 04, 2018"
1428132,23,True,True,"Jun 04, 2018"
1428138,23,False,False,"Jun 04, 2018"
1428144,23,True,True,"Jun 04, 2018"
1428153,23,True,False,"Jun 04, 2018"
1428156,23,True,True,"Jun 04, 2018"
1428159,23,False,False,"Jun 04, 2018"
1428168,25,False,True,"Jun 18, 2018"
1428201,24,True,True,"Jun 11, 2018"
1428204,23,False,False,"Jun 04, 2018"
1428207,23,False,False,"Jun 04, 2018"
1428216,23,False,False,"Jun 04, 2018"
1428219,23,True,True,"Jun 04, 2018"
1428222,23,False,False,"Jun 04, 2018"
1428294,23,False,False,"Jun 04, 2018"
1428303,23,True,True,"Jun 04, 2018"
1428306,23,False,True,"Jun 04, 2018"
1428312,23,True,True,"Jun 04, 2018"
1428315,23,False,False,"Jun 04, 2018"
1428318,23,True,True,"Jun 04, 2018"
1428324,23,False,False,"Jun 04, 2018"
1428345,23,True,True,"Jun 04, 2018"
1428351,23,True,True,"Jun 04, 2018"
1428357,43,False,True,"Oct 22, 2018"
1428363,36,True,True,"Sep 03, 2018"
1428372,36,False,False,"Sep 03, 2018"
1428399,23,False,True,"Jun 04, 2018"
1428405,23,False,True,"Jun 04, 2018"
1428429,23,False,True,"Jun 04, 2018"
1428432,23,True,True,"Jun 04, 2018"
1428435,23,True,True,"Jun 04, 2018"
1428438,23,True,True,"Jun 04, 2018"
1428447,23,False,False,"Jun 04, 2018"
1428453,23,False,True,"Jun 04, 2018"
1428459,23,True,True,"Jun 04, 2018"
1428501,24,True,True,"Jun 11, 2018"
1428513,23,True,True,"Jun 04, 2018"
1428537,23,False,False,"Jun 04, 2018"
1428546,23,True,True,"Jun 04, 2018"
1428549,23,True,True,"Jun 04, 2018"
1428579,23,False,False,"Jun 04, 2018"
1428594,27,False,True,"Jul 02, 2018"
1428597,23,True,True,"Jun 04, 2018"
1428600,23,False,False,"Jun 04, 2018"
1428603,23,False,False,"Jun 04, 2018"
1428621,23,False,True,"Jun 04, 2018"
1428639,23,False,True,"Jun 04, 2018"
1428642,23,False,True,"Jun 04, 2018"
1428648,23,True,True,"Jun 04, 2018"
1428687,23,False,False,"Jun 04, 2018"
1428708,23,True,True,"Jun 04, 2018"
1428711,23,False,False,"Jun 04, 2018"
1428726,23,False,True,"Jun 04, 2018"
1428777,23,False,False,"Jun 04, 2018"
1428786,23,True,True,"Jun 04, 2018"
1428795,23,False,False,"Jun 04, 2018"
1428813,23,True,True,"Jun 04, 2018"
1428816,23,True,True,"Jun 04, 2018"
1428840,23,False,False,"Jun 04, 2018"
1428891,23,False,True,"Jun 04, 2018"
1428918,23,True,True,"Jun 04, 2018"
1428924,24,True,True,"Jun 11, 2018"
1428927,23,False,False,"Jun 04, 2018"
1428951,23,False,True,"Jun 04, 2018"
1428963,23,True,True,"Jun 04, 2018"
1428966,23,False,False,"Jun 04, 2018"
1428978,23,False,False,"Jun 04, 2018"
1428990,23,False,False,"Jun 04, 2018"
1429008,23,False,False,"Jun 04, 2018"
1429017,23,True,True,"Jun 04, 2018"
1429023,23,False,False,"Jun 04, 2018"
1429026,23,False,False,"Jun 04, 2018"
1429029,23,False,False,"Jun 04, 2018"
1429038,23,True,True,"Jun 04, 2018"
1429041,23,False,False,"Jun 04, 2018"
1429050,23,False,True,"Jun 04, 2018"
1429056,23,True,True,"Jun 04, 2018"
1429065,23,False,True,"Jun 04, 2018"
1429068,23,False,False,"Jun 04, 2018"
1429071,23,True,True,"Jun 04, 2018"
1429077,23,False,True,"Jun 04, 2018"
1429080,23,False,True,"Jun 04, 2018"
1429083,23,False,False,"Jun 04, 2018"
1429092,23,True,True,"Jun 04, 2018"
1429101,23,True,True,"Jun 04, 2018"
1429104,23,False,True,"Jun 04, 2018"
1429128,35,False,True,"Aug 27, 2018"
1429131,23,True,False,"Jun 04, 2018"
1429152,23,True,True,"Jun 04, 2018"
1429155,23,False,False,"Jun 04, 2018"
1429164,23,True,True,"Jun 04, 2018"
1429167,23,True,True,"Jun 04, 2018"
1429170,23,False,False,"Jun 04, 2018"
1429182,23,False,True,"Jun 04, 2018"
1429185,23,True,True,"Jun 04, 2018"
1429191,23,False,False,"Jun 04, 2018"
1429203,23,True,True,"Jun 04, 2018"
1429209,23,False,True,"Jun 04, 2018"
1429215,23,True,True,"Jun 04, 2018"
1429224,23,False,False,"Jun 04, 2018"
1429239,23,False,True,"Jun 04, 2018"
1429254,23,False,False,"Jun 04, 2018"
1429293,25,False,True,"Jun 18, 2018"
1429296,23,False,False,"Jun 04, 2018"
1429299,23,False,True,"Jun 04, 2018"
1429308,23,False,False,"Jun 04, 2018"
1429332,23,False,False,"Jun 04, 2018"
1429335,23,False,False,"Jun 04, 2018"
1429338,23,False,False,"Jun 04, 2018"
1429341,23,False,True,"Jun 04, 2018"
1429359,23,True,True,"Jun 04, 2018"
1429362,23,False,False,"Jun 04, 2018"
1429368,23,False,True,"Jun 04, 2018"
1429371,23,True,True,"Jun 04, 2018"
1429386,23,False,False,"Jun 04, 2018"
1429398,23,True,True,"Jun 04, 2018"
1429401,23,True,True,"Jun 04, 2018"
1429404,23,False,False,"Jun 04, 2018"
1429431,23,True,True,"Jun 04, 2018"
1429437,23,True,True,"Jun 04, 2018"
1429440,23,False,False,"Jun 04, 2018"
1429443,23,True,True,"Jun 04, 2018"
1429446,23,False,False,"Jun 04, 2018"
1429449,23,False,False,"Jun 04, 2018"
1429452,23,True,True,"Jun 04, 2018"
1429458,23,False,True,"Jun 04, 2018"
1429461,23,True,True,"Jun 04, 2018"
1429464,23,True,True,"Jun 04, 2018"
1429467,23,False,False,"Jun 04, 2018"
1429476,23,True,True,"Jun 04, 2018"
1429482,23,True,True,"Jun 04, 2018"
1429488,23,True,True,"Jun 04, 2018"
1429491,23,False,False,"Jun 04, 2018"
1429494,23,False,True,"Jun 04, 2018"
1429506,23,False,True,"Jun 04, 2018"
1429512,23,False,True,"Jun 04, 2018"
1429515,23,False,True,"Jun 04, 2018"
1429518,23,False,True,"Jun 04, 2018"
1429527,23,False,False,"Jun 04, 2018"
1429530,23,False,True,"Jun 04, 2018"
1429542,23,True,True,"Jun 04, 2018"
1429548,23,True,True,"Jun 04, 2018"
1429563,23,True,True,"Jun 04, 2018"
1429566,23,False,True,"Jun 04, 2018"
1429575,23,True,True,"Jun 04, 2018"
1429584,23,True,True,"Jun 04, 2018"
1429614,23,False,True,"Jun 04, 2018"
1429617,23,False,False,"Jun 04, 2018"
1429620,23,True,True,"Jun 04, 2018"
1429632,23,True,True,"Jun 04, 2018"
1429635,23,False,True,"Jun 04, 2018"
1429638,23,False,True,"Jun 04, 2018"
1429641,23,False,False,"Jun 04, 2018"
1429644,23,True,True,"Jun 04, 2018"
1429647,23,False,True,"Jun 04, 2018"
1429650,23,False,True,"Jun 04, 2018"
1429653,23,False,True,"Jun 04, 2018"
1429683,23,True,True,"Jun 04, 2018"
1429686,23,True,True,"Jun 04, 2018"
1429695,23,False,True,"Jun 04, 2018"
1429701,23,False,True,"Jun 04, 2018"
1429707,26,False,True,"Jun 25, 2018"
1429719,23,False,False,"Jun 04, 2018"
1429725,23,True,True,"Jun 04, 2018"
1429728,23,True,True,"Jun 04, 2018"
1429731,23,True,False,"Jun 04, 2018"
1429737,29,False,True,"Jul 16, 2018"
1429740,23,False,True,"Jun 04, 2018"
1429743,23,False,True,"Jun 04, 2018"
1429746,23,False,False,"Jun 04, 2018"
1429749,23,True,True,"Jun 04, 2018"
1429752,26,True,True,"Jun 25, 2018"
1429755,23,False,True,"Jun 04, 2018"
1429758,23,False,False,"Jun 04, 2018"
1429761,23,True,True,"Jun 04, 2018"
1429767,24,True,True,"Jun 11, 2018"
1429779,23,True,True,"Jun 04, 2018"
1429803,23,False,True,"Jun 04, 2018"
1429806,23,True,True,"Jun 04, 2018"
1429812,23,True,True,"Jun 04, 2018"
1429815,23,False,False,"Jun 04, 2018"
1429818,23,True,True,"Jun 04, 2018"
1429830,23,True,True,"Jun 04, 2018"
1429842,23,True,True,"Jun 04, 2018"
1429857,23,True,True,"Jun 04, 2018"
1429860,23,True,True,"Jun 04, 2018"
1429866,23,False,True,"Jun 04, 2018"
1429902,23,True,True,"Jun 04, 2018"
1429905,23,False,True,"Jun 04, 2018"
1429908,23,False,False,"Jun 04, 2018"
1429941,23,True,True,"Jun 04, 2018"
1429944,23,True,True,"Jun 04, 2018"
1429959,23,False,True,"Jun 04, 2018"
1429962,23,True,True,"Jun 04, 2018"
1429971,23,False,False,"Jun 04, 2018"
1429983,23,True,True,"Jun 04, 2018"
1429986,23,True,True,"Jun 04, 2018"
1430001,23,True,True,"Jun 04, 2018"
1430007,23,True,True,"Jun 04, 2018"
1430022,34,False,False,"Aug 20, 2018"
1430028,23,True,True,"Jun 04, 2018"
1430031,23,True,True,"Jun 04, 2018"
1430037,23,True,True,"Jun 04, 2018"
1430064,23,True,True,"Jun 04, 2018"
1430085,23,False,False,"Jun 04, 2018"
1430088,23,False,True,"Jun 04, 2018"
1430094,23,False,False,"Jun 04, 2018"
1430097,23,False,True,"Jun 04, 2018"
1430100,23,True,False,"Jun 04, 2018"
1430109,23,True,True,"Jun 04, 2018"
1430121,23,True,True,"Jun 04, 2018"
1430124,23,True,True,"Jun 04, 2018"
1430154,23,True,True,"Jun 04, 2018"
1430157,23,False,False,"Jun 04, 2018"
1430169,23,True,True,"Jun 04, 2018"
1430172,23,False,False,"Jun 04, 2018"
1430202,23,False,True,"Jun 04, 2018"
1430211,23,False,True,"Jun 04, 2018"
1430214,23,False,False,"Jun 04, 2018"
1430217,26,False,False,"Jun 25, 2018"
1430220,23,False,True,"Jun 04, 2018"
1430232,23,False,True,"Jun 04, 2018"
1430235,23,True,True,"Jun 04, 2018"
1430244,23,False,True,"Jun 04, 2018"
1430265,23,True,True,"Jun 04, 2018"
1430268,23,False,False,"Jun 04, 2018"
1430298,23,False,False,"Jun 04, 2018"
1430301,23,False,False,"Jun 04, 2018"
1430316,23,False,True,"Jun 04, 2018"
1430319,23,True,True,"Jun 04, 2018"
1430346,23,True,True,"Jun 04, 2018"
1430352,23,False,False,"Jun 04, 2018"
1430361,23,False,False,"Jun 04, 2018"
1430367,23,False,True,"Jun 04, 2018"
1430391,23,False,False,"Jun 04, 2018"
1430397,23,False,False,"Jun 04, 2018"
1430400,23,True,True,"Jun 04, 2018"
1430412,23,False,True,"Jun 04, 2018"
1430415,23,False,True,"Jun 04, 2018"
1430433,23,False,False,"Jun 04, 2018"
1430445,23,False,False,"Jun 04, 2018"
1430451,23,True,True,"Jun 04, 2018"
1430454,23,False,True,"Jun 04, 2018"
1430457,23,False,True,"Jun 04, 2018"
1430460,23,True,True,"Jun 04, 2018"
1430463,23,True,True,"Jun 04, 2018"
1430472,23,True,False,"Jun 04, 2018"
1430481,23,True,True,"Jun 04, 2018"
1430484,23,True,True,"Jun 04, 2018"
1430499,23,True,True,"Jun 04, 2018"
1430502,23,False,False,"Jun 04, 2018"
